"id","full_name","team_name","position","height","weight","bat_side","pitch_hand","height_inches"
671096,"Andrew Abbott","Cincinnati Reds","Pitcher","6' 0""",192,"L","L",72
682928,"CJ Abrams","Washington Nationals","Shortstop","6' 0""",191,"L","R",72
650556,"Bryan Abreu","Houston Astros","Pitcher","6' 1""",230,"R","R",73
547989,"José Abreu","Houston Astros","First Base","6' 3""",250,"R","R",75
677800,"Wilyer Abreu","Boston Red Sox","Outfielder","5' 10""",215,"L","L",70
682668,"Luisangel Acuña","New York Mets","Shortstop","5' 7""",181,"R","R",67
660670,"Ronald Acuña Jr.","Atlanta Braves","Outfielder","6' 0""",205,"R","R",72
592094,"Jason Adam","San Diego Padres","Pitcher","6' 3""",229,"R","R",75
642715,"Willy Adames","Milwaukee Brewers","Shortstop","6' 0""",216,"R","R",72
613534,"Austin Adams","Oakland Athletics","Pitcher","6' 3""",220,"R","R",75
677941,"Jordyn Adams","Los Angeles Angels","Outfielder","6' 1""",181,"R","R",73
656180,"Riley Adams","Washington Nationals","Catcher","6' 4""",263,"R","R",76
686654,"Ty Adcock","New York Mets","Pitcher","6' 0""",213,"R","R",72
666176,"Jo Adell","Los Angeles Angels","Outfielder","6' 2""",215,"R","R",74
672851,"Joan Adon","Washington Nationals","Pitcher","6' 2""",247,"R","R",74
501303,"Ehire Adrianza","Los Angeles Angels","Shortstop","6' 1""",198,"S","R",73
687924,"Julian Aguiar","Cincinnati Reds","Pitcher","6' 3""",180,"L","R",75
605113,"Nick Ahmed","San Diego Padres","Shortstop","6' 1""",201,"R","R",73
669211,"Keegan Akin","Baltimore Orioles","Pitcher","6' 0""",235,"L","L",72
645277,"Ozzie Albies","Atlanta Braves","Second Base","5' 7""",165,"S","R",67
660896,"Jorge Alcala","Minnesota Twins","Pitcher","6' 3""",205,"R","R",75
682634,"Kevin Alcántara","Chicago Cubs","Designated Hitter","6' 6""",188,"R","R",78
691951,"Sam Aldegheri","Los Angeles Angels","Pitcher","6' 1""",210,"L","L",73
677942,"Blaze Alexander","Arizona Diamondbacks","Third Base","5' 11""",200,"R","R",71
680769,"CJ Alexander","Kansas City Royals","First Base","6' 3""",215,"L","R",75
518397,"Scott Alexander","Oakland Athletics","Pitcher","6' 2""",195,"L","L",74
641302,"Tyler Alexander","Tampa Bay Rays","Pitcher","6' 1""",214,"R","L",73
663465,"Kolby Allard","Philadelphia Phillies","Pitcher","6' 1""",195,"L","L",73
663531,"Logan Allen","Arizona Diamondbacks","Pitcher","6' 3""",200,"R","L",75
671106,"Logan Allen","Cleveland Guardians","Pitcher","6' 0""",190,"R","L",72
669397,"Nick Allen","Oakland Athletics","Shortstop","5' 7""",166,"R","R",67
622075,"Yency Almonte","Chicago Cubs","Pitcher","6' 5""",223,"R","R",77
624413,"Pete Alonso","New York Mets","First Base","6' 3""",245,"R","R",75
656186,"Dan Altavilla","Kansas City Royals","Pitcher","5' 11""",235,"R","R",71
514888,"Jose Altuve","Houston Astros","Second Base","5' 6""",167,"R","R",66
621237,"José Alvarado","Philadelphia Phillies","Pitcher","6' 2""",245,"L","L",74
669137,"Armando Alvarez","Oakland Athletics","Third Base","6' 0""",189,"R","R",72
657193,"Eddy Alvarez","New York Mets","Shortstop","5' 8""",178,"L","R",68
682626,"Francisco Alvarez","New York Mets","Catcher","5' 10""",233,"R","R",70
805373,"Nacho Alvarez Jr.","Atlanta Braves","Shortstop","5' 10""",190,"R","R",70
670541,"Yordan Alvarez","Houston Astros","Designated Hitter","6' 4""",237,"L","R",76
640470,"Adbert Alzolay","Chicago Cubs","Pitcher","6' 1""",208,"R","R",73
691182,"Adael Amador","Colorado Rockies","Second Base","5' 11""",209,"S","R",71
676070,"Jacob Amaya","Chicago White Sox","Shortstop","5' 10""",180,"R","R",70
665804,"Miguel Amaya","Chicago Cubs","Catcher","6' 1""",230,"R","R",73
605119,"Brian Anderson","Atlanta Braves","Third Base","6' 2""",215,"R","R",74
681982,"Grant Anderson","Texas Rangers","Pitcher","6' 0""",213,"R","R",72
605121,"Justin Anderson","Chicago White Sox","Pitcher","6' 3""",230,"L","R",75
623433,"Nick Anderson","Kansas City Royals","Pitcher","6' 4""",205,"R","R",76
502624,"Chase Anderson","Texas Rangers","Pitcher","6' 1""",210,"R","R",73
641312,"Shaun Anderson","Miami Marlins","Pitcher","6' 6""",228,"R","R",78
641313,"Tim Anderson","Miami Marlins","Shortstop","6' 0""",185,"R","R",72
542881,"Tyler Anderson","Los Angeles Angels","Pitcher","6' 2""",220,"L","L",74
677076,"Clayton Andrews","New York Yankees","Pitcher","5' 6""",160,"L","L",66
542882,"Matt Andriese","Miami Marlins","Pitcher","6' 2""",215,"R","R",74
609280,"Miguel Andujar","Oakland Athletics","Designated Hitter","6' 0""",211,"R","R",72
622088,"Tejay Antone","Cincinnati Reds","Pitcher","6' 4""",230,"R","R",76
666018,"Jonathan Aranda","Tampa Bay Rays","First Base","6' 0""",215,"L","R",72
606115,"Orlando Arcia","Atlanta Braves","Shortstop","5' 11""",187,"R","R",71
571448,"Nolan Arenado","St. Louis Cardinals","Third Base","6' 2""",215,"R","R",74
672356,"Gabriel Arias","Cleveland Guardians","Third Base","6' 1""",217,"R","R",73
542888,"Shawn Armstrong","Chicago Cubs","Pitcher","6' 2""",225,"R","R",74
668227,"Randy Arozarena","Seattle Mariners","Outfielder","5' 10""",185,"R","R",70
650333,"Luis Arraez","San Diego Padres","Second Base","5' 10""",186,"L","R",70
681293,"Spencer Arrighetti","Houston Astros","Pitcher","6' 2""",186,"R","R",74
676879,"Aaron Ashby","Milwaukee Brewers","Pitcher","6' 0""",194,"R","L",72
668933,"Graham Ashcraft","Cincinnati Reds","Pitcher","6' 2""",248,"L","R",74
665871,"Javier Assad","Chicago Cubs","Pitcher","6' 1""",200,"R","R",73
687014,"Nick Avila","San Francisco Giants","Pitcher","6' 4""",195,"R","R",76
658648,"Pedro Avila","Cleveland Guardians","Pitcher","5' 11""",210,"R","R",71
640492,"José Azócar","San Diego Padres","Outfielder","5' 11""",181,"R","R",71
669199,"Lake Bachar","Miami Marlins","Pitcher","6' 2""",219,"R","R",74
668731,"Akil Baddoo","Detroit Tigers","Outfielder","5' 11""",216,"L","L",71
664056,"Harrison Bader","New York Mets","Outfielder","5' 11""",219,"R","R",71
678225,"Jihwan Bae","Pittsburgh Pirates","Outfielder","5' 11""",185,"L","R",71
595879,"Javier Báez","Detroit Tigers","Shortstop","5' 11""",190,"R","R",71
672275,"Patrick Bailey","San Francisco Giants","Catcher","6' 0""",223,"S","R",72
641329,"Bryan Baker","Baltimore Orioles","Pitcher","6' 6""",235,"R","R",78
671117,"Darren Baker","Washington Nationals","Second Base","5' 10""",167,"L","R",70
663609,"Luken Baker","St. Louis Cardinals","First Base","6' 4""",285,"R","R",76
681460,"Brooks Baldwin","Chicago White Sox","Outfielder","6' 1""",195,"S","R",73
607455,"Anthony Banda","Los Angeles Dodgers","Pitcher","6' 2""",221,"L","L",74
621383,"Tanner Banks","Philadelphia Phillies","Pitcher","6' 1""",205,"R","L",73
675915,"David Bañuelos","Baltimore Orioles","Catcher","5' 9""",205,"R","R",69
680718,"Addison Barger","Toronto Blue Jays","Outfielder","5' 11""",210,"L","R",71
605130,"Scott Barlow","Cleveland Guardians","Pitcher","6' 3""",210,"R","R",75
605131,"Austin Barnes","Los Angeles Dodgers","Catcher","5' 9""",187,"R","R",69
606930,"Jacob Barnes","Washington Nationals","Pitcher","6' 2""",231,"R","R",74
598264,"Matt Barnes","Washington Nationals","Pitcher","6' 4""",208,"R","R",76
571466,"Tucker Barnhart","Arizona Diamondbacks","Catcher","5' 8""",192,"L","R",68
678489,"Jorge Barrosa","Arizona Diamondbacks","Outfielder","5' 6""",175,"S","L",66
663698,"Joey Bart","Pittsburgh Pirates","Catcher","6' 2""",242,"R","R",74
605135,"Chris Bassitt","Toronto Blue Jays","Pitcher","6' 5""",220,"R","R",77
669620,"Brady Basso","Oakland Athletics","Pitcher","6' 2""",213,"R","L",74
676946,"Matthew Batten","San Diego Padres","Second Base","5' 10""",180,"R","R",70
683146,"Brett Baty","New York Mets","Third Base","6' 3""",210,"L","R",75
641343,"Jake Bauers","Milwaukee Brewers","First Base","6' 0""",216,"L","L",72
657508,"Mike Baumann","Miami Marlins","Pitcher","6' 4""",240,"R","R",76
669358,"Shane Baz","Tampa Bay Rays","Pitcher","6' 3""",200,"R","R",75
660825,"Eduard Bazardo","Seattle Mariners","Pitcher","6' 0""",190,"R","R",72
687597,"Jordan Beck","Colorado Rockies","Outfielder","6' 2""",227,"R","R",74
663941,"Tristan Beck","San Francisco Giants","Pitcher","6' 4""",200,"R","R",76
670280,"David Bednar","Pittsburgh Pirates","Pitcher","6' 1""",250,"L","R",73
595881,"Tyler Beede","Cleveland Guardians","Pitcher","6' 2""",216,"R","R",74
656222,"Jalen Beeks","Pittsburgh Pirates","Pitcher","5' 11""",215,"L","L",71
690925,"Clayton Beeter","New York Yankees","Pitcher","6' 2""",220,"R","R",74
605137,"Josh Bell","Arizona Diamondbacks","Designated Hitter","6' 3""",261,"S","R",75
641355,"Cody Bellinger","Chicago Cubs","Outfielder","6' 3""",204,"L","L",75
678394,"Brayan Bello","Boston Red Sox","Pitcher","6' 1""",195,"R","R",73
678368,"Valente Bellozo","Miami Marlins","Pitcher","5' 10""",221,"R","R",70
669622,"Anthony Bender","Miami Marlins","Pitcher","6' 4""",205,"R","R",76
643217,"Andrew Benintendi","Chicago White Sox","Designated Hitter","5' 9""",185,"L","L",69
666181,"Will Benson","Cincinnati Reds","Outfielder","6' 4""",230,"L","L",76
642834,"Jonathan Bermúdez","Miami Marlins","Pitcher","6' 2""",226,"L","L",74
657514,"Brennan Bernardino","Boston Red Sox","Pitcher","6' 4""",216,"L","L",76
